ID	Nome	Tipo	Material	Datação	Escola ou movimento	Autoria	TIpo de produção	Técnica de Composição	Materiais	Estético	Técnicas de construção/Funcionalidades
11	Poltrona F51	Assento	Madeira e Estofado	1920	Bauhaus	Walter Gropius	Produção artesanal	Desenvolvida para a sala do diretor da Bauhaus em Weimar, destaca-se por uma estrutura perimetral de madeira maciça com eixos rigorosamente ortogonais que envolve e sustenta volumes estofados densos, criando a ilusão visual de que o assento flutua sobre o chão.	Madeira, Estofado, Tecido	Escultural, Padronizado, Vertical, Contraste cromático, Minimalista	Encaixe, Estrutura fixa, Postura fixa
12	Luminárias seriadas Körting & Mathiesen (Kandem)	Iluminação	Aço, Alumínio e Vidro	1928	Bauhaus	Marianne Brandt e Hin Bredendieck	Produção industrial	Primeira colaboração de sucesso em grande escala entre a oficina de metal da Bauhaus e a indústria, focada em luminárias de mesa e teto otimizadas matematicamente para máxima reflexão luminosa, utilizando cúpulas de metal estampado e juntas ajustáveis.	Aço, Alumínio, Vidro	Curvilíneo, Escultural, Orgânico, Texturizado, Contorno fluido	Esmaltação, Curvatura de metal, Articulação mecânica, Equipamento elétrico
13	Luminária de mesa MT8 (Lâmpada Bauhaus)	Iluminação	Aço e Vidro	1924	Bauhaus	Wilhelm Wagenfeld e Carl Jakob Jucker	Design Assinado	Projetada sob os princípios elementares da escola utilizando formas geométricas puras (círculo e cilindro) e uma cúpula hemisférica em vidro opalescente para máxima difusão luminosa, integrando a fiação dentro do tubo estrutural e assumindo a sua vocação para a fabricação industrial.	Aço, Vidro	Escultural, Vertical, Assimétrico	Equipamento elétrico, Encaixe, Estrutura fixa
14	Luminária de teto Kandem	Iluminação	Aço e Vidro	1928	Bauhaus	Marianne Brandt e Hin Bredendieck	Produção industrial	Desenvolvida para produção industrial em larga escala, utiliza uma cúpula de vidro de alta eficiência difusora e um suporte superior simplificado em metal estampado, refletindo os princípios de iluminação otimizada, fácil manutenção e acessibilidade econômica.	Aço, Vidro	Escultural, Antropomórfico, Minimalista	Equipamento elétrico, Moldagem de vidro, Esmaltação, Estrutura fixa
15	Cinzeiro esférico de latão	Utilitário	Latão	1924	Bauhaus	Marianne Brandt	Produção artesanal	Desenvolvido na oficina de metais a partir da intersecção rigorosa de formas geométricas básicas (esfera cortada e cilindro), incorpora um mecanismo basculante inovador que isola as cinzas e odores, combinando acabamentos contrastantes no metal.	Latão	Figurativo, Contraste cromático, Fotográfico	Articulação mecânica, Soldagem, Encaixe, Estrutura fixa
16	Jogo de xadrez	Objeto lúdico	Madeira	1923	Bauhaus	Josef Hartwig	Design Assinado	As peças abandonam as tradicionais figuras monárquicas e bélicas para assumir volumes geométricos puros, onde o desenho e a forma de cada peça (cubos, blocos em L, cortes diagonais) indicam visualmente e de forma lógica a direção do seu movimento no tabuleiro.	Madeira	Geométrico, Ortogonal, Minimalista	Encaixe, Estrutura fixa
17	Maçaneta de porta Bauhaus	Componente arquitetônico	Latão e Aço	1923	Bauhaus	Walter Gropius	Design Assinado	Construída através da intersecção de dois volumes geométricos elementares (um cilindro liso para a empunhadura e um bloco ortogonal para a haste), desenhada para se adequar à ergonomia da mão e expressar visualmente a sua função e o seu mecanismo de alavanca.	Latão, Aço	Ortogonal, Minimalista	Funcionamento mecânico, Encaixe
18	Mesas de encaixe	Mesa	Madeira e Vidro	1926	Bauhaus	Josef Albers	Design Assinado	Conjunto de quatro mesas independentes de tamanhos decrescentes desenhadas para se encaixarem perfeitamente umas sob as outras. Combinam uma estrutura ortogonal em madeira maciça com tampos em vidro laqueado em cores distintas (amarelo, vermelho, azul e branco/azul claro), aplicando a teoria das cores ao funcionalismo e à otimização espacial.	Madeira, Vidro	Modular, Ortogonal, Geométrico	Design aninhável, Encaixe, Estrutura fixa
19	Mesa consola B108	Mesa	Aço e Madeira	1928	Bauhaus	Marcel Breuer	Design Assinado	Estrutura longilínea construída a partir da dobra contínua de tubos de aço que servem de suporte para superfícies retangulares e gavetas de madeira, criando um móvel de apoio elegante que mistura o rigor industrial com a leveza visual do espaço vazado.	Aço, Madeira	Translúcido, Ortogonal	Curvatura de metal, Encaixe, Estrutura fixa
20	Mesa Laccio	Mesa	Aço e Madeira	1925	Bauhaus	Marcel Breuer	Design Assinado	Concebida originalmente como um banco em formato de trenó para acompanhar a cadeira Wassily e rapidamente adotada como mesa de centro, apresenta uma base leve e contínua em tubo de aço dobrado a frio que sustenta um tampo retangular liso.	Aço, Madeira	Geométrico, Tipográfico, Minimalista	Curvatura de metal, Encaixe, Estrutura fixa
21	Mesa de centro Barcelona	Mesa	Aço e Vidro	1929	Bauhaus	Ludwig Mies van der Rohe e Lilly Reich	Design Assinado	Estrutura de perfil de aço cromado minuciosamente soldada e polida em forma de cruz plana, oferecendo uma base de proporções rigorosas e minimalistas que sustenta um espesso tampo de vidro transparente, eliminando qualquer elemento decorativo supérfluo.	Aço, Vidro	Cilíndrico, Minimalista	Soldagem, Encaixe, Estrutura fixa
22	Bule de Chá MT49	Utilitário	Prata, Latão e Madeira	1924	Bauhaus	Marianne Brandt	Produção artesanal	Reconstrói o objeto tradicional inteiramente através de geometrias puras (um corpo hemisférico apoiado sobre uma base estrutural em cruz), incorporando um cabo de madeira isolante térmico posicionado assimetricamente para garantir ergonomia durante o uso.	Prata, Latão, Madeira	Texturizado, Minimalista	Engenharia térmica, Soldagem, Encaixe, Estrutura fixa
23	Potes de cozinha	Utilitário	Argila	1923	Bauhaus	Theodor Bogler	Design Assinado	Desenvolvidos na oficina de cerâmica em Dornburg, utilizam componentes modulares padronizados baseados em geometrias simples (cilindros e cones) para facilitar a produção em massa em moldes, marcando a transição do artesanato tradicional para o design industrial utilitário.	Argila	Ortogonal, Padronizado	Moldagem estrutural, Esmaltação
24	Jogo de construção Bauspiel	Objeto lúdico	Madeira	1923	Bauhaus	Alma Siedhoff-Buscher	Design Assinado	Conjunto de 22 blocos de madeira pintados com cores vibrantes que abandonam a representação figurativa tradicional dos brinquedos da época, oferecendo peças geométricas puras (como prismas, curvas e cilindros) para estimular a imaginação espacial e construtiva livre das crianças.	Madeira	Modular, Geométrico	Encaixe
25	Cidade Dinâmica	Obra gráfica	Papel, Fotografia e Tinta	1919	Vkhutemas	Gustav Klutsis	Produção artesanal	Pioneira na técnica de fotomontagem construtivista, a obra funde fragmentos fotográficos do mundo real (trabalhadores, estruturas e texturas) com eixos e formas geométricas abstratas de forte herança suprematista. Rompe intencionalmente com a perspectiva clássica, criando um espaço visual multidirecional que simboliza o ritmo acelerado e a construção da nova sociedade soviética	Papel, Fotografia, Tinta	Empilhável, Geométrico, Minimalista	Fotomontagem, Colagem, Sobreposição gráfica
26	Monumento à Terceira Internacional (Torre de Tatlin)	Projeto arquitetônico	Aço, Vidro e Madeira	1919	Vkhutemas	Vladimir Tatlin	Produção artesanal	Projetada para superar a Torre Eiffel e ser o epicentro da nova sociedade soviética, a imensa estrutura de treliça metálica em dupla espiral inclinada sustentaria quatro volumes geométricos de vidro (cubo, pirâmide, cilindro e hemisfério) concebidos para girar em diferentes velocidades (anual, mensal, diária e horária). A obra é a síntese absoluta entre arte, engenharia, "cultura dos materiais" e dinamismo mecânico, embora nunca tenha sido construída devido às limitações tecnológicas e econômicas da época.	Aço, Vidro, Madeira	Geométrico, Minimalista, Liso	Estrutura em espiral, Articulação mecânica, Composição volumétrica, Desenho técnico
27	Cadeira Dobrável para o Clube Operário	Assento	Madeira	1925	Vkhutemas	Aleksandr Rodchenko	Design Assinado	Concebida originalmente para o interior do Clube Operário no pavilhão soviético da Exposição de Paris, a cadeira materializa a ideologia produtivista. A sua estrutura geométrica de ripas de madeira expostas rejeita qualquer estofamento burguês, utilizando um sistema mecânico simples e eficiente que permite dobrar a peça para otimizar o espaço e facilitar a reconfiguração dinâmica do ambiente comunitário.	Madeira	Ortogonal, Minimalista, Modular, Estrutura aparente	Articulação mecânica, Padronização, Encaixe, Dobrável
28	Mesa de Xadrez com Cadeiras Pivotantes (Clube Operário)	Mobiliário integrado	Madeira	1925	Vkhutemas	Aleksandr Rodchenko	Design Assinado	Concebido como peça central de socialização intelectual para o Clube Operário Soviético na Exposição de Paris, o conjunto elimina a desordem espacial ao fixar os assentos diretamente à estrutura da mesa. Utilizando mecanismos rotativos, permite que os usuários ocupem e deixem seus lugares sem arrastar cadeiras e que o próprio tabuleiro seja girado para alternar os jogadores, materializando a obsessão produtivista pela eficiência mecânica, movimento dinâmico e padronização geométrica.	Madeira	Ortogonal, Minimalista	Eixo pivotante, Articulação mecânica, Padronização, Encaixe
29	Cadeira de Balanço em Tubo de Aço	Assento	Aço e Madeira	1927	Vkhutemas	Vladimir Tatlin	Design Assinado	Desenvolvida com base nos estudos avançados da "cultura dos materiais", a cadeira rompe com a rigidez ortogonal comum aos produtivistas para explorar a flexibilidade e o potencial de curvatura do aço tubular. A estrutura em arco contínuo cria um balanço natural e elástico, enquanto o assento curvado molda-se perfeitamente ao corpo humano, unindo eficiência produtiva industrial com inovação ergonômica.	Aço, Madeira	Curvilíneo, Sinuoso, Empilhável, Minimalista	Curvatura de metal, Estrutura em balanço, Encaixe
30	Cadeira-Mesa Conversível	Mobiliário integrado	Madeira e Aço	1927	Vkhutemas	Abram Damski (Professor Responsável: Aleksandr Rodchenko)	Produção artesanal	Como evidenciado nos diagramas articulados e registros de época contidos no arquivo image_c4431e.jpg (que se encontra rotacionado em 90 graus no sentido anti-horário), o projeto propõe uma solução mecânica radical para as limitações de espaço das habitações operárias. A estrutura utiliza um encosto plano de madeira conectado a eixos móveis que, ao ser rebatido para a horizontal, transforma o assento em uma mesa de trabalho ou leitura estável, eliminando a necessidade de múltiplos móveis no ambiente comunitário.	Madeira, Aço	Ortogonal, Minimalista	Mecanismo conversível, Articulação mecânica, Eixo pivotante, Dobrável, Encaixe
31	Mamadeiras de Porcelana para Maternidades (Trabalho de Conclusão de Curso)	Utilitário	Porcelana, Metal e Palha	1930	Vkhutemas	A. Sotnikov (Atelier Vladimir Tatlin)	Produção artesanal	Orientado por Vladimir Tatlin na faculdade de cerâmica,  o projeto aplica os preceitos da "cultura dos materiais" a demandas reais de assistência social e puericultura. Os recipientes possuem formato esférico e anatômico de gota que se molda confortavelmente à mão, utilizando a porcelana lisa para garantir superfícies higiênicas de fácil esterilização. O conjunto é acondicionado de forma compacta em um suporte de palha trançada com fechos metálicos flexíveis, otimizando o armazenamento e o transporte coletivo em maternidades públicas soviéticas.	Porcelana, Metal, Palhinha	Tipográfico, Minimalista	Moldagem estrutural, Tecelagem, Modularidade, Encaixe
32	Quiosque Multimídia Agitprop nº 5	Utilitário	Madeira e Metal	1922	Vkhutemas	Gustav Klutsis	Produção artesanal	Projetado para comemorações políticas e difusão de informações (Agitprop), o quiosque é uma estrutura multifuncional que integra telas de projeção cinematográfica, alto-falantes e painéis giratórios para slogans. A composição apoia-se em uma malha construtivista de ripas de madeira e cabos de aço tensionados que formam uma treliça geométrica leve e vazada, transformando o design tridimensional em uma máquina dinâmica de comunicação perfeitamente adaptável e transportável para o espaço público.	Madeira, Metal	Ortogonal, Minimalista	Modularidade, Tensionamento, Estrutura desmontável, Encaixe, Articulação mecânica
33	Maquete da Entrada do Palácio do Trabalho	Projeto arquitetônico (Maquete)	Madeira, Metal e Papel	1923	Vkhutemas	Aleksandr Vesnin	Produção artesanal	Projetada para o emblemático concurso do Palácio do Trabalho, a maquete da entrada materializa a defesa de Vesnin pela subordinação rigorosa da forma arquitetônica à sua estrutura de engenharia e função utilitária. A composição expõe de maneira radical o esqueleto estrutural e a malha ortogonal do edifício, integrando de forma assimétrica elementos da modernidade tecnológica e de comunicação de massa. O arranjo geométrico elimina qualquer ornamentação supérflua ou herança estética tradicional, organizando o espaço de forma vazada e monumental para celebrar a cultura dos materiais e o protagonismo do operariado na vida cotidiana.	Madeira, Metal, Papel	Ortogonal, Minimalista	Composição volumétrica, Desenho técnico, Tensionamento, Estrutura fixa
34	Maquete da Entrada do Palácio do Trabalho	Projeto arquitetônico (Maquete)	Madeira, Metal e Papel	1923	Vkhutemas	Aleksandr Vesnin	Produção artesanal	Projetada para o emblemático concurso do Palácio do Trabalho, a maquete da entrada materializa a defesa de Vesnin pela subordinação rigorosa da forma arquitetônica à sua estrutura de engenharia e função utilitária. A composição expõe de maneira radical o esqueleto estrutural e a malha ortogonal do edifício, integrando de forma assimétrica elementos da modernidade tecnológica e de comunicação de massa. O arranjo geométrico elimina qualquer ornamentação supérflua ou herança estética tradicional, organizando o espaço de forma vazada e monumental para celebrar a cultura dos materiais e o protagonismo do operariado na vida cotidiana.	Madeira, Metal, Papel	Tipográfico, Ortogonal, Minimalista	Composição volumétrica, Desenho técnico, Tensionamento, Estrutura fixa
35	Organização de Móveis para diversos Espaços	Assento	Aço e Madeira	1929	Vkhutemas	P. Galationov (Professor Responsável: Aleksandr Rodchenko)	Produção artesanal	Conforme apresentado no arquivo image_c3b816.jpg (que está rotacionado em 90 graus no sentido anti-horário), o projeto consiste em um sistema de assentos para uso em locais coletivos como clubes, restaurantes e salas de conferência. A estrutura utiliza pernas de metal curvadas que permitem que as peças sejam encaixadas e empilhadas de forma compacta, diminuindo o espaço ocupado quando o mobiliário precisa ser guardado.	Aço, Madeira	Ortogonal, Minimalista, Texturizado	Curvatura de metal, Encaixe, Modularidade, Design aninhável
36	Preface for Chris (CAM 2002.23)	Obra gráfica	Papel e Tinta	1973	Cranbrook Academy of Art	Departamento de Design (Cranbrook)	Produção artesanal	Obra gráfica catalogada no acervo do Cranbrook Art Museum, desenvolvida no início da grande reestruturação do programa de design gráfico da instituição. A peça reflete as experimentações do período, que começavam a afastar a escola do rigor do estilo suíço (funcionalista) em direção a uma abordagem onde a tipografia, a estrutura e a imagem são tratadas como camadas interpretativas, valorizando a semântica e o processo de significado visual.	Papel, Tinta	Sinuoso, Curvilíneo, Orgânico, Botânico	Sobreposição gráfica, Colagem, Desenho técnico
37	Modular Painting with Four Panels, No. 7 from the Modern Series (CAM 2002.21)	Pintura	Tecido e Tinta	1970	Cranbrook Academy of Art	Roy Lichtenstein	Produção artesanal	Integrante da coleção do Cranbrook Art Museum, esta obra explora a estética da impressão comercial, a art déco e a divisão estrutural geométrica. Utilizando quatro painéis modulares que formam um conjunto coeso, a pintura dialoga fortemente com as noções de arquitetura seriada e proporção, refletindo a intersecção entre arte pura, padronização mecânica e as disciplinas de design espacial promovidas e exibidas pelo museu da academia.	Tecido, Tinta	Geométrico, Ortogonal, Linhas contínuas	Modularidade, Padronização, Estrutura fixa
38	The Graduate Program in Design (CAM 2008.97)	Obra gráfica	Papel e Tinta	1989	Cranbrook Academy of Art	Katherine McCoy	Design Assinado	Cartaz emblemático da revolução tipográfica e teórica liderada por Katherine McCoy no departamento de design da academia. A obra rompe com as grades rígidas do funcionalismo suíço em favor de uma composição complexa e multicamadas que desafia o observador a "ler a imagem" e "ver o texto". Incorporando diagramas semânticos e teorias pós-estruturalistas, a peça funciona como um manifesto visual da nova pedagogia da escola, tratando a comunicação gráfica não apenas como transmissão de informações, mas como um processo interpretativo profundo e dinâmico.	Papel, Tinta	Assimétrico, Linhas contínuas	Sobreposição gráfica, Colagem
39	Tall Double-Curved Bottle with Lip (CAM 1980.22)	Utilitário	Argila	1963	Cranbrook Academy of Art	Autor não especificado (Acervo CAM)	Produção artesanal	Pertencente ao acervo do Cranbrook Art Museum, esta garrafa de dupla curvatura exemplifica a excelência histórica do departamento de cerâmica da instituição. A peça reflete a filosofia de integração entre o artesanato e a arte promovida pela academia, explorando proporções orgânicas, o peso visual da matéria e o domínio técnico da modelagem para elevar uma tipologia de objeto tradicional e cotidiano ao patamar de escultura contemplativa.	Argila	Curvilíneo, Escultural, Texturizado, Orgânico, Cilíndrico	Moldagem estrutural, Esmaltação
40	Spiral Three-Step Ladder (CAM 1977.7)	Utilitário	Madeira	1966	Cranbrook Academy of Art	Autor não especificado (Acervo CAM)	Produção artesanal	Pertencente ao acervo do Cranbrook Art Museum, esta escada de três degraus em espiral exemplifica a fusão primorosa entre funcionalidade utilitária e exploração formal. A peça eleva um objeto de suporte cotidiano ao patamar de escultura tridimensional através da marcenaria complexa, evidenciando o design orgânico e a preocupação com o movimento no espaço. A obra reflete perfeitamente a filosofia central da academia de integrar a excelência artesanal e a arte à vida prática diária.	Madeira	Escultural, Curvilíneo, Orgânico	Estrutura em espiral, Encaixe, Estrutura fixa, Portátil
41	Model for Dulles International Airport Terminal Building (CAM 1983.15)	Projeto arquitetônico	Madeira, Plástico e Papel	1960	Cranbrook Academy of Art	Eero Saarinen	Produção artesanal	Maquete do icônico terminal projetado por Eero Saarinen, figura central na história da instituição. O projeto materializa a visão de um modernismo americano mais livre e expressivo desenvolvido na Cranbrook, em nítido contraste com a caixa de vidro rígida do funcionalismo europeu. A monumental cobertura em curva catenária, suportada por uma colunata inclinada, traduz visualmente a leveza e o dinamismo do voo por meio de uma forma escultural contínua que funde organicidade arquitetônica e ousadia estrutural.	Madeira, Plástico, Papel	Curvilíneo, Escultural, Orgânico, Assimétrico	Composição volumétrica, Tensionamento, Estrutura fixa, Desenho técnico
42	MAA Swaged Leg Lounge Chair (ZO 1989.3)	Assento	Fibra de vidro e Aço	1958	Cranbrook Academy of Art	George Nelson	Design Assinado	O design inovador utiliza o processo industrial de "swaging" (conformação por pressão mecânica) para criar pernas de aço tubulares elegantes e afuniladas. Combinada com assento e encosto separados de fibra de vidro moldada para oferecer flexibilidade e conforto, a peça reflete perfeitamente os ideais de leveza ergonômica, estética orgânica e a exploração tecnológica de novos materiais industriais promovidos pela rede de designers americanos na época.	Fibra de vidro, Aço	Curvilíneo, Orgânico, Minimalista	Curvatura de metal, Moldagem estrutural, Encaixe, Postura flexível, Padronização
43	Magnum (Upholstery and Wallcovering Fabric) (CAM 2000.5)	Têxtil	Tecido	1970	Cranbrook Academy of Art	Autor não especificado (Acervo CAM)	Design Assinado	Integrante do acervo do Cranbrook Art Museum, este tecido destinado a estofamento e revestimento de paredes exemplifica a abordagem interdisciplinar da academia, onde a arte têxtil, o design de mobiliário e a arquitetura de interiores se fundem para compor o ambiente construído. Produzida em uma época de forte expansão do design corporativo e residencial americano, a peça valoriza o rigor visual e a funcionalidade, alinhando-se à filosofia da escola de integrar a qualidade estética e tátil aos espaços habitáveis e à vida contemporânea.	Tecido	Texturizado, Minimalista	Tecelagem, Padronização, Acústica
44	Sem título (Escultura Sonora) (CAM 2001.13)	Escultura	Metal e Latão	1975	Cranbrook Academy of Art	Harry Bertoia	Produção artesanal	Obra representativa das famosas explorações acústicas "Sonambient" de Harry Bertoia, figura central na era de ouro da Cranbrook. A peça é composta por um agrupamento de hastes metálicas verticais e flexíveis, finamente soldadas a uma base sólida. Quando tocadas ou movidas pelas correntes de ar, as hastes colidem entre si, produzindo tons ressonantes e complexas texturas espaciais. A escultura funde as percepções visuais, táteis e auditivas, materializando a filosofia interdisciplinar da academia ao integrar movimento, pureza material e a vibração invisível do som em uma única experiência tridimensional.	Latão	Escultural, Linhas contínuas, Minimalista	Acústica, Soldagem, Estrutura fixa
45	Electric Chair (CAM 2003.11)	Obra gráfica	Papel e Tinta	1971	Pop Art	Andy Warhol	Produção artesanal	Refazendo a classificação com os dados exatos da obra original. A peça é uma das imagens mais icônicas da sombria série "Death and Disaster" do artista, figura central da Pop Art. Apropriando-se de uma fotografia de jornal da câmara de execução da prisão de Sing Sing (1963), Warhol adotou o processo industrial da serigrafia para mimetizar a repetição mecânica da cultura de massa. Ao mesmo tempo em que a obra reflete a cultura moderna, ela opera como uma crítica velada aos excessos da América do pós-guerra e à pena capital. Integrando um portfólio de 1971, esta versão específica explora tons sombrios e contrastantes de azul e malva, oferecendo à comunidade da Cranbrook um estudo profundo sobre apropriação mecânica, cor e a dimensão moral das imagens reproduzidas em série.	Papel, Tinta, Fotografia	Assimétrico, Metálico	Sobreposição gráfica, Padronização
46	Decanter (CAM 1982.64)	Utilitário	Cobre e Prata	1980	Cranbrook Academy of Art	Chunghi Choo	Produção artesanal	Refazendo a classificação com os dados exatos da obra original. Criado pela ex-aluna do Departamento de Metais da Cranbrook, Chunghi Choo, este decantador transcende as referências de utensílios de mesa tradicionais através da técnica técnica e minuciosa de eletroformação em cobre com banho de prata. A obra reflete a busca da artista por simplicidade, harmonia e graça, estabelecendo um diálogo perfeito entre forma e superfície. As curvas sensuais e as propriedades altamente reflexivas remetem ao metal em seu estado fundido, implorando para ser tocado. A peça demonstra as possibilidades ilimitadas de forma proporcionadas pela experimentação metalúrgica sem fronteiras, unindo de forma sublime o prazer do uso cotidiano à beleza escultórica contemplativa.	Cobre, Prata	Curvilíneo, Escultural, Minimalista, Reflexivo	Eletroformação, Composição volumétrica, Banho metálico
47	Plate (CAM 1984.19)	Escultura	Grés e Esmalte	1982	Cranbrook Academy of Art	Jun Kaneko	Produção artesanal	Refazendo a classificação com os dados exatos da obra original. Criada pelo ex-Artista Residente e Chefe do Departamento de Cerâmica da Cranbrook, Jun Kaneko, esta obra desafia as categorizações tradicionais ao operar como uma escultura de parede em vez de uma simples placa ou olaria utilitária. A peça explora temas como pintura de superfície, densidade física e a relação entre repetição e desintegração. O corpo de grés, tingido de preto, é coberto por um padrão de círculos em esmalte escuro com halos vermelhos, onde a exatidão da forma é ditada pelo acaso, contrastando diretamente com a ordem regular do padrão. A orientação vertical confina o arranjo de pontos, introduzindo uma forte tensão visual, enquanto os círculos que se estendem além da borda sugerem um sistema modular conceitualmente infinito. A peça ilustra perfeitamente o magistral equilíbrio de opostos que é a chave para a energia do trabalho do artista.	Cerâmica, Esmalte	Escultural, Padronizado, Vertical, Contraste cromático, Minimalista	Moldagem estrutural, Esmaltação, Modularidade
48	Vessel (CAM 1986.7)	Escultura	Cerâmica	1981	Cranbrook Academy of Art	Richard DeVore	Produção artesanal	Refazendo a classificação com os dados exatos da obra original. Criada por Richard DeVore, ex-aluno e ex-Chefe do Departamento de Cerâmica da Cranbrook, esta peça exemplifica a tradição do recipiente (vessel) elevado a um objeto escultural de metamorfose, distanciando-se da olaria estritamente funcional. A forma alta e envolvente apresenta sutis indentações feitas à mão, linhas incisas próximas à base e uma borda cortada sinuosa que evocam simultaneamente a figura humana e formações geológicas naturais. Através de múltiplas queimas, o artista desenvolveu camadas de tons bege dourados que parecem intrínsecos à matéria — como rocha ou pele —, enquanto gotejamentos e um esmalte craquelado escuro no interior revelam a natureza líquida do material e atraem o olhar para as profundezas do objeto. A obra atua como um estudo magistral de transformação material, proporção orgânica e a expressividade tátil.	Cerâmica, Esmalte	Curvilíneo, Escultural, Orgânico, Texturizado, Contorno fluido	Moldagem manual, Múltiplas queimas, Esmaltação, Incisão
